MovieTitle,TweetID,TweetText,TweetCreated,CompoundScore,positive_list,negative_list,neutral_list
Mission: Impossible - Fallout,1026263074699849728,"RT @ShakenNotNerd: Episode 78 - Mission Impossible: Fallout review is now available. Go check it out?

#MissionImpossible #MissionImpossibl…",Sun Aug 05 22:46:13 +0000 2018,0.0,0.0,0.0,1.0
Mission: Impossible - Fallout,1026263074699849728,RT @MissionFilm: #MissionImpossible Fallout is the #1 movie in the world. Don’t miss “one of the best reviewed blockbusters ever.” See it i…,Sun Aug 05 22:45:39 +0000 2018,0.5574,0.157,0.06,0.784
Mission: Impossible - Fallout,1026263074699849728,"RT @drwright4congr1: Why in the world is there a ban MY little account while Ted Lieu’s giant account is not? 

This is #ElectionInterferen…",Sun Aug 05 22:45:38 +0000 2018,-0.5574,0.0,0.146,0.854
Mission: Impossible - Fallout,1026263074699849728,RT @boxofficemojo: Friday #BoxOffice Estimates: #MissionImpossible - Fallout $9.85m; #ChristopherRobin $9.46m; @SpyWhoDumpedMe $5m https://…,Sun Aug 05 22:45:19 +0000 2018,0.0,0.0,0.0,1.0
Mission: Impossible - Fallout,1026263074699849728,"RT @ShowPlaceICON: Follow us on Twitter, RT, &amp; tag the friend who is most likely to jump out of an airplane to be entered to win a #Mission…",Sun Aug 05 22:44:29 +0000 2018,0.7906,0.219,0.0,0.781
Mission: Impossible - Fallout,1026263074699849728,RT @MissionFilm: .@TomCruise and Henry Cavill take flight in this 360 behind-the-scenes video of their #MissionImpossible helicopter chase.…,Sun Aug 05 22:44:04 +0000 2018,0.0,0.0,0.0,1.0
Mission: Impossible - Fallout,1026263074699849728,RT @MissionFilm: .@TomCruise and Henry Cavill take flight in this 360 behind-the-scenes video of their #MissionImpossible helicopter chase.…,Sun Aug 05 22:43:34 +0000 2018,0.0,0.0,0.0,1.0
Mission: Impossible - Fallout,1026263074699849728,RT @MissionFilm: .@TomCruise and Henry Cavill take flight in this 360 behind-the-scenes video of their #MissionImpossible helicopter chase.…,Sun Aug 05 22:42:57 +0000 2018,0.0,0.0,0.0,1.0
Mission: Impossible - Fallout,1026263074699849728,RT @MissionFilm: Brace yourself for the best mission yet. #MissionImpossible Fallout is the #1 movie in the world. See it in theatres now.…,Sun Aug 05 22:42:34 +0000 2018,0.6369,0.16,0.0,0.84
Mission: Impossible - Fallout,1026263074699849728,RT @MissGoddessLuna: Make yourself useful pay for our date! #Cuckold #PayPig #cashcow #humanatm #FinDom #findomaddict #Reimburse #Alphacoup…,Sun Aug 05 22:41:52 +0000 2018,0.4199,0.163,0.071,0.766
Mission: Impossible - Fallout,1026263074699849728,"RT @ShowPlaceICON: Follow us on Twitter, RT, &amp; tag the friend who is most likely to jump out of an airplane to be entered to win a #Mission…",Sun Aug 05 22:41:12 +0000 2018,0.7906,0.219,0.0,0.781
Mission: Impossible - Fallout,1026263074699849728,Usually not a huge fan of blockbusters like #MissionImpossible. Just saw #Fallout. Breathtakingly beautiful action… https://t.co/TueJEAmyVZ,Sun Aug 05 22:40:50 +0000 2018,0.5386,0.3,0.184,0.516
Mission: Impossible - Fallout,1026263074699849728,"#MissionImpossible Fallout was amazing. Honestly, on edge the entire time.",Sun Aug 05 22:40:20 +0000 2018,0.7783,0.459,0.0,0.541
Mission: Impossible - Fallout,1026263074699849728,"RT @ShowPlaceICON: Follow us on Twitter, RT, &amp; tag the friend who is most likely to jump out of an airplane to be entered to win a #Mission…",Sun Aug 05 22:39:58 +0000 2018,0.7906,0.219,0.0,0.781
Mission: Impossible - Fallout,1026263074699849728,RT @boxofficemojo: Weekend #BoxOffice Estimates: #MissionImpossible - Fallout $35m; #ChristopherRobin $25m; @SpyWhoDumpedMe $12.35m https:/…,Sun Aug 05 22:39:24 +0000 2018,0.0,0.0,0.0,1.0
Mission: Impossible - Fallout,1026263074699849728,"Oh, what i was going 2 say…never watch #VanillaSky while consuming a few adult beverages…alone…on a Sunday…accordin… https://t.co/xYAPRJGmAW",Sun Aug 05 22:39:19 +0000 2018,0.0,0.0,0.0,1.0
Mission: Impossible - Fallout,1026263074699849728,"Listen to ""Self Destruct"" by @AmIOnTheAir w. @DXDONMEGA  https://t.co/3BFlPqWpwn #TV #Movies #Reviews… https://t.co/vi3zZlrxFE",Sun Aug 05 22:38:27 +0000 2018,-0.5267,0.0,0.221,0.779
Mission: Impossible - Fallout,1026263074699849728,"Listen to ""Self Destruct"" by @AmIOnTheAir w. @DXDONMEGA  https://t.co/Mf5HOJyOdf #TV #Movies #Reviews… https://t.co/wptV70VtBo",Sun Aug 05 22:38:20 +0000 2018,-0.5267,0.0,0.221,0.779
Mission: Impossible - Fallout,1026263074699849728,"#venom #missionimpossible
#missionimpossiblefallout

Mission Impossible: Fallout is a smash, Venom trailer hits the… https://t.co/cdfVYP66op",Sun Aug 05 22:38:07 +0000 2018,0.0,0.0,0.0,1.0
Mission: Impossible - Fallout,1026263074699849728,"RT @MissionFilm: Prepare for the biggest, boldest stunts yet. Get a sneak peek of #MissionImpossible Fallout. In theatres 7.27.18. https://…",Sun Aug 05 22:37:38 +0000 2018,0.3818,0.126,0.0,0.874
Mission: Impossible - Fallout,1026263074699849728,"RT @RottenTomatoes: Tom Cruise, Henry Cavill and director Christopher McQuarrie breakdown the epic bathroom brawl from #MissionImpossible F…",Sun Aug 05 22:37:18 +0000 2018,0.0,0.0,0.0,1.0
Mission: Impossible - Fallout,1026263074699849728,"RT @CenayangFilm: Fallout.

sebuah pembuktian Tom Cruise walo sudah om-om tapi masih fit.

https://t.co/sAhMzImdeo",Sun Aug 05 22:37:17 +0000 2018,0.3612,0.161,0.0,0.839
Mission: Impossible - Fallout,1026263074699849728,RT @MissionFilm: #MissionImpossible Fallout is the #1 movie in the world. Don’t miss “one of the best reviewed blockbusters ever.” See it i…,Sun Aug 05 22:37:14 +0000 2018,0.5574,0.157,0.06,0.784
Mission: Impossible - Fallout,1026263074699849728,RT @MissionFilm: #MissionImpossible Fallout is the #1 movie in the world. Don’t miss “one of the best reviewed blockbusters ever.” See it i…,Sun Aug 05 22:36:12 +0000 2018,0.5574,0.157,0.06,0.784
